id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,42843,47,567,233,253,243.75,615.0,1.0291458368301392,0.9895978569984436,0,0,1200,960
1,158751,358,278,514,440,506.25,465.0,1.0210092067718506,0.9897870421409607,0,0,1200,960
2,1914,0,385,37,66,18.75,405.0,1.0129081010818481,0.9685729146003723,0,0,1200,960
3,39605,903,58,253,284,1143.75,285.0,1.0092511177062988,0.9899783730506897,0,0,1200,960
4,40883,562,325,241,225,693.75,465.0,1.0055568218231201,0.9787440299987793,0,0,1200,960
5,3816,474,469,66,74,506.25,525.0,0.9999496340751648,0.9877572059631348,0,0,1200,960
6,171896,0,0,1032,295,168.75,165.0,0.9960606098175049,0.9657788872718811,0,0,1200,960
7,5278,185,567,87,79,243.75,645.0,0.9931841492652893,0.9802964925765991,0,0,1200,960
8,224728,0,0,1032,469,393.75,225.0,0.9882057905197144,0.9524631500244141,0,0,1200,960
9,1167,558,15,45,33,581.25,45.0,0.9867705702781677,0.9931740760803223,0,0,1200,960
10,158904,358,278,516,668,731.25,345.0,0.9857536554336548,0.9768372774124146,0,0,1200,960
11,1201,673,426,46,33,693.75,435.0,0.985630989074707,0.9884009957313538,0,0,1200,960
12,1217,835,26,46,34,881.25,45.0,0.9855340123176575,0.9877750873565674,0,0,1200,960
13,10478,1055,715,130,104,1181.25,765.0,0.9836165308952332,0.977723240852356,0,0,1200,960
14,1109,1118,504,44,30,1143.75,525.0,0.9825736880302429,0.9865591526031494,0,0,1200,960
15,938,564,185,36,35,581.25,195.0,0.9823608994483948,0.9768421053886414,0,0,1200,960
16,229102,0,0,1032,715,768.75,45.0,0.9808145761489868,0.9624833464622498,0,0,1200,960
17,1033,1070,42,41,33,1106.25,45.0,0.9806082844734192,0.9951691031455994,0,0,1200,960
18,838,184,883,38,27,206.25,885.0,0.9796145558357239,0.9940617680549622,0,0,1200,960
19,771,240,306,36,26,243.75,315.0,0.9783385396003723,0.9883720874786377,0,0,1200,960
20,11031,405,742,129,126,506.25,825.0,0.9776129126548767,0.9795625805854797,0,0,1200,960
21,1100,154,439,43,30,168.75,465.0,0.9770852327346802,0.9918552041053772,0,0,1200,960
22,724,519,180,33,26,543.75,195.0,0.9767504930496216,0.9890260696411133,0,0,1200,960
23,12049,378,84,121,140,393.75,195.0,0.9764566421508789,0.9831289649009705,0,0,1200,960
24,938,28,584,42,27,56.25,585.0,0.9758608937263489,0.9904458522796631,0,0,1200,960
25,864,337,791,37,31,356.25,795.0,0.9758444428443909,0.9907727837562561,0,0,1200,960
26,1987,693,48,64,49,731.25,75.0,0.9754698276519775,0.9830085039138794,0,0,1200,960
27,1048,1036,488,38,39,1068.75,495.0,0.9737306237220764,0.9904852509498596,0,0,1200,960
28,10086,998,607,103,134,1068.75,705.0,0.9736867547035217,0.9793936014175415,0,0,1200,960
29,7961,0,105,107,118,18.75,135.0,0.9725593328475952,0.9770585298538208,0,0,1200,960
30,1054,622,139,42,31,656.25,165.0,0.9724551439285278,0.9895833134651184,0,0,1200,960
31,9877,342,843,113,115,393.75,855.0,0.9723386764526367,0.9819512963294983,0,0,1200,960
32,1089,659,159,42,32,693.75,165.0,0.9721795916557312,0.9936014413833618,0,0,1200,960
33,914,29,506,38,30,56.25,525.0,0.9716398119926453,0.9815418124198914,0,0,1200,960
34,771,295,319,32,33,318.75,345.0,0.9712117910385132,0.9910025596618652,0,0,1200,960
35,248,984,211,10,26,993.75,225.0,0.9706854820251465,0.980079710483551,0,0,1200,960
36,3873,260,898,97,61,281.25,945.0,0.9697550535202026,0.9760143160820007,0,0,1200,960
37,12151,1062,824,132,134,1106.25,855.0,0.9695531129837036,0.9761750102043152,0,0,1200,960
38,887,720,64,37,33,731.25,75.0,0.9691917896270752,0.9799777269363403,0,0,1200,960
39,15956,836,555,148,155,881.25,585.0,0.967548668384552,0.9697568416595459,0,0,1200,960
40,266,508,577,17,18,506.25,585.0,0.9670329093933105,0.9813432693481445,0,0,1200,960
41,10043,540,735,166,106,581.25,795.0,0.9661007523536682,0.9634743332862854,0,0,1200,960
42,3596,178,27,126,83,243.75,75.0,0.966013491153717,0.9766483306884766,0,0,1200,960
43,11362,0,356,140,115,93.75,405.0,0.965964674949646,0.972853422164917,0,0,1200,960
44,2536,52,310,59,57,93.75,345.0,0.9655113220214844,0.9647560119628906,0,0,1200,960
45,582,0,358,36,30,18.75,375.0,0.963496744632721,0.9812925457954407,0,0,1200,960
46,10752,204,106,123,116,281.25,195.0,0.9631592631340027,0.981290340423584,0,0,1200,960
47,12127,932,824,262,134,1143.75,855.0,0.9626061320304871,0.9710321426391602,0,0,1200,960
